,ISU,GENDER,CITIZENSHIP,EXAM_TYPE,EXAM_SUBJECT_1,EXAM_SUBJECT_2,EXAM_SUBJECT_3,ADMITTED_EXAM_1,ADMITTED_EXAM_2,ADMITTED_EXAM_3,ADMITTED_SUBJECT_PRIZE_LEVEL,REGION_ID
0,8746993777733478780,Ж,15601729049989747827,ЕГЭ,70786669040476600,5533732657842394915,8388269026169219461,88.0,91.0,81.0,ЕГЭ,4877310761925081124
1,18279003839105282485,М,15601729049989747827,ВИ,70786669040476600,5533732657842394915,8388269026169219461,84.0,89.0,96.0,ЕГЭ,4877310761925081124
2,17601399077733331421,М,15601729049989747827,ВИ,70786669040476600,5533732657842394915,8388269026169219461,66.0,78.0,93.0,ЕГЭ,4877310761925081124
3,4111128904589594590,М,15601729049989747827,ВИ,70786669040476600,5533732657842394915,8388269026169219461,100.0,89.0,80.0,ЕГЭ,4877310761925081124
4,5943608672516320930,М,15601729049989747827,ВИ,70786669040476600,5533732657842394915,8388269026169219461,84.0,86.0,91.0,ЕГЭ,4877310761925081124
5,5758306092028354728,М,15601729049989747827,ЕГЭ,11200029731125595475,8388269026169219461,14462659375807213512,66.0,68.0,83.0,ЕГЭ,4877310761925081124
6,14013138270783219044,М,15601729049989747827,ЕГЭ,70786669040476600,8388269026169219461,5533732657842394915,70.0,66.0,70.0,ЕГЭ,15356981229653043462
7,7894989788213916004,М,15601729049989747827,ЕГЭ,70786669040476600,5533732657842394915,8388269026169219461,70.0,61.0,72.0,ЕГЭ,8027359186010888546
8,15480399002422430447,М,15601729049989747827,ВИ,70786669040476600,5533732657842394915,8388269026169219461,84.0,67.0,89.0,ЕГЭ,4877310761925081124
9,13806015751261624584,М,15601729049989747827,ВИ,70786669040476600,5533732657842394915,8388269026169219461,74.0,97.0,91.0,ЕГЭ,4877310761925081124
10,4847477995649495063,Ж,15601729049989747827,ВИ,70786669040476600,5533732657842394915,8388269026169219461,60.0,81.0,91.0,ЕГЭ,16228771858762793341
11,15154696822062798738,М,15601729049989747827,ВИ,70786669040476600,5533732657842394915,8388269026169219461,66.0,72.0,88.0,ЕГЭ,4877310761925081124
12,12509351068385216188,М,15601729049989747827,ВИ,70786669040476600,5533732657842394915,8388269026169219461,76.0,75.0,92.0,ЕГЭ,4877310761925081124
13,4080914535946562748,М,15601729049989747827,ВИ,70786669040476600,5533732657842394915,8388269026169219461,84.0,86.0,93.0,ЕГЭ,4877310761925081124
14,15984501334223481618,Ж,15601729049989747827,ВИ,70786669040476600,5533732657842394915,8388269026169219461,66.0,100.0,90.0,ЕГЭ,8027359186010888546
15,7920944613164998493,М,15601729049989747827,ВИ,70786669040476600,5533732657842394915,8388269026169219461,92.0,100.0,93.0,ЕГЭ,4877310761925081124
16,15759592318230620639,Ж,15601729049989747827,ВИ,70786669040476600,8388269026169219461,5533732657842394915,82.0,89.0,83.0,ЕГЭ,4877310761925081124
17,4456173831566198143,Ж,15601729049989747827,ВИ,70786669040476600,5533732657842394915,8388269026169219461,100.0,94.0,93.0,ЕГЭ,17341978997214072207
18,9536233128805962858,Ж,15601729049989747827,ЕГЭ,70786669040476600,8388269026169219461,5533732657842394915,68.0,82.0,70.0,ЕГЭ,4877310761925081124
19,16221352727496296442,М,15601729049989747827,ЕГЭ,70786669040476600,8388269026169219461,5533732657842394915,100.0,82.0,100.0,ЕГЭ,16925236604731044042
20,11237732004374784634,М,15601729049989747827,ЕГЭ,70786669040476600,5533732657842394915,8388269026169219461,70.0,81.0,73.0,ЕГЭ,4877310761925081124
21,16978579041470007980,М,15601729049989747827,ЕГЭ,70786669040476600,5533732657842394915,8388269026169219461,66.0,100.0,84.0,ЕГЭ,13699487308698232023
22,271075593611197357,М,15601729049989747827,ЕГЭ,70786669040476600,5533732657842394915,8388269026169219461,100.0,94.0,72.0,ЕГЭ,12731406122716445910
23,211690825419868263,Ж,15601729049989747827,ВИ,70786669040476600,8388269026169219461,5533732657842394915,84.0,92.0,92.0,ЕГЭ,4877310761925081124
24,14905091886463525155,Ж,15601729049989747827,ВИ,70786669040476600,8388269026169219461,5533732657842394915,84.0,96.0,86.0,ЕГЭ,4877310761925081124
25,299455190124019595,М,15601729049989747827,ВИ,70786669040476600,8388269026169219461,5533732657842394915,87.0,64.0,61.0,ЕГЭ,4877310761925081124
26,7916718273436749681,М,15601729049989747827,ВИ,70786669040476600,8388269026169219461,5533732657842394915,61.0,88.0,75.0,ЕГЭ,4877310761925081124
27,7217042316822723335,М,15601729049989747827,ВИ,70786669040476600,8388269026169219461,5533732657842394915,84.0,92.0,69.0,ЕГЭ,4877310761925081124
28,13279264928399361767,М,15601729049989747827,ВИ,70786669040476600,8388269026169219461,5533732657842394915,77.0,96.0,72.0,ЕГЭ,4877310761925081124
29,9022195967315801882,М,15601729049989747827,ВИ,70786669040476600,8388269026169219461,5533732657842394915,66.0,88.0,81.0,ЕГЭ,4877310761925081124
