,ISU,KURS,DATE_START,DATE_END,PRIZNAK,MAIN_PLAN
0,4111128904589594590,2,2017-09-01,2018-08-31 00:00:00,обучен,1888061104212561891
1,4111128904589594590,3,2018-09-01,2018-11-02 00:00:00,обучен,1888061104212561891
2,4111128904589594590,3,2018-11-03,2019-08-31 00:00:00,обучен,1888061104212561891
3,4111128904589594590,4,2019-09-01,2020-07-06 00:00:00,обучен,1888061104212561891
4,5943608672516320930,2,2017-09-01,2018-08-31 00:00:00,обучен,2318124975100570268
5,5943608672516320930,3,2018-09-01,2019-08-31 00:00:00,обучен,2318124975100570268
6,5943608672516320930,4,2019-09-01,2020-08-30 00:00:00,обучен,2318124975100570268
7,18279003839105282485,2,2017-09-01,2018-08-31 00:00:00,обучен,1888061104212561891
8,18279003839105282485,3,2018-09-01,2019-03-03 00:00:00,обучен,1888061104212561891
9,17601399077733331421,2,2017-09-01,2018-08-31 00:00:00,обучен,1888061104212561891
10,17601399077733331421,3,2018-09-01,2019-02-04 00:00:00,обучен,1888061104212561891
11,15154696822062798738,2,2017-09-01,2018-11-21 00:00:00,обучен,1888061104212561891
12,12509351068385216188,2,2017-09-01,2018-04-01 00:00:00,обучен,538504927009081539
13,4080914535946562748,2,2017-09-01,2018-08-31 00:00:00,обучен,2318124975100570268
14,4080914535946562748,3,2018-09-01,2018-10-01 00:00:00,обучен,2318124975100570268
15,15984501334223481618,2,2017-09-01,2018-08-31 00:00:00,обучен,2318124975100570268
16,15984501334223481618,3,2018-09-01,2018-09-19 00:00:00,обучен,2318124975100570268
17,7920944613164998493,2,2017-09-01,2018-08-31 00:00:00,обучен,4659528030745229553
18,7920944613164998493,3,2018-09-01,2019-05-05 00:00:00,обучен,4659528030745229553
19,7920944613164998493,2,2019-05-06,2019-08-31 00:00:00,отчисл,4659528030745229553
20,7920944613164998493,3,2019-09-01,2019-12-25 00:00:00,обучен,7432011864087186134
21,7920944613164998493,3,2019-12-26,2020-08-31 00:00:00,академ,7432011864087186134
22,7920944613164998493,3,2020-09-01,2021-04-08 00:00:00,обучен,14027966425105557844
23,15759592318230620639,2,2017-09-01,2018-08-31 00:00:00,обучен,2308869398595984949
24,15759592318230620639,3,2018-09-01,2019-08-31 00:00:00,обучен,2308869398595984949
25,15759592318230620639,4,2019-09-01,2020-07-09 00:00:00,обучен,2308869398595984949
26,13806015751261624584,2,2017-09-01,2018-08-31 00:00:00,обучен,14125390921141592015
27,13806015751261624584,3,2018-09-01,2018-09-01 00:00:00,обучен,14125390921141592015
28,13806015751261624584,3,2018-09-02,2019-04-09 00:00:00,обучен,14125390921141592015
29,13806015751261624584,2,2019-04-10,2019-08-31 00:00:00,отчисл,14125390921141592015
30,13806015751261624584,2,2019-09-01,2020-08-31 00:00:00,обучен,11686819870063525140
31,13806015751261624584,3,2020-09-01,2020-11-04 00:00:00,обучен,11686819870063525140
32,4847477995649495063,2,2017-09-01,2018-04-30 00:00:00,обучен,12546660344713025372
33,4847477995649495063,2,2018-05-01,2018-08-31 00:00:00,обучен,4268629008899220142
34,4847477995649495063,3,2018-09-01,2018-09-01 00:00:00,обучен,4268629008899220142
35,4847477995649495063,3,2018-09-02,2018-10-03 00:00:00,обучен,4268629008899220142
36,4456173831566198143,2,2017-09-01,2018-08-31 00:00:00,обучен,7302235559458623679
37,4456173831566198143,3,2018-09-01,2018-09-30 00:00:00,обучен,7302235559458623679
38,7894989788213916004,1,2018-09-01,2019-03-11 00:00:00,обучен,1871881558734096666
39,7894989788213916004,1,2019-03-12,2019-08-31 00:00:00,отчисл,1871881558734096666
40,7894989788213916004,1,2019-09-01,2020-04-23 00:00:00,обучен,7233366611242995406
41,16978579041470007980,2,2017-09-01,2018-04-26 00:00:00,обучен,8468096058207029819
42,271075593611197357,2,2017-09-01,2018-04-25 00:00:00,обучен,978336095212592939
43,271075593611197357,2,2018-04-26,2018-08-31 00:00:00,отчисл,978336095212592939
44,271075593611197357,2,2018-09-01,2019-08-31 00:00:00,обучен,978336095212592939
45,271075593611197357,3,2019-09-01,2019-11-04 00:00:00,обучен,978336095212592939
46,16221352727496296442,1,2017-09-01,2018-04-11 00:00:00,обучен,15640730918606426910
47,9536233128805962858,1,2017-09-01,2017-09-01 00:00:00,обучен,17879660698378496781
48,9536233128805962858,1,2017-09-02,2018-08-31 00:00:00,обучен,17879660698378496781
49,9536233128805962858,2,2018-09-01,2019-01-31 00:00:00,обучен,17879660698378496781
50,9536233128805962858,2,2019-02-01,2019-08-31 00:00:00,обучен,17879660698378496781
51,9536233128805962858,3,2019-09-01,2019-12-29 00:00:00,обучен,17879660698378496781
52,9536233128805962858,3,2019-12-30,2020-08-31 00:00:00,обучен,17879660698378496781
53,9536233128805962858,4,2020-09-01,2020-12-14 00:00:00,обучен,17879660698378496781
54,9536233128805962858,4,2020-12-15,2021-02-07 00:00:00,отчисл,17879660698378496781
55,9536233128805962858,3,2021-02-08,2021-08-31 00:00:00,обучен,1871881558734096666
56,211690825419868263,1,2017-09-01,2017-09-01 00:00:00,обучен,3822626843564218778
57,211690825419868263,1,2017-09-02,2018-08-31 00:00:00,обучен,3822626843564218778
58,211690825419868263,2,2018-09-01,2019-08-31 00:00:00,обучен,3822626843564218778
59,211690825419868263,3,2019-09-01,2020-08-31 00:00:00,обучен,3822626843564218778
60,211690825419868263,4,2020-09-01,2021-08-30 00:00:00,обучен,3822626843564218778
61,14905091886463525155,1,2017-09-01,2018-08-31 00:00:00,обучен,1346358098327444141
62,14905091886463525155,2,2018-09-01,2019-08-31 00:00:00,обучен,1346358098327444141
63,14905091886463525155,3,2019-09-01,2020-08-31 00:00:00,обучен,1346358098327444141
64,14905091886463525155,4,2020-09-01,2020-12-30 00:00:00,обучен,1346358098327444141
65,14905091886463525155,4,2020-12-31,2021-08-30 00:00:00,обучен,1346358098327444141
66,299455190124019595,1,2017-09-01,2017-09-01 00:00:00,обучен,17879660698378496781
