,ISU,GENDER,DATE_BIRTH,ST_YEAR,SEMESTER,DISC_ID,MAIN_PLAN,TYPE_NAME,MARK
0,10629403761260861411,М,1975,2020/2021,4.0,13112935959748478559,10080731777079285074,Дифференцированный зачет,3.471698113207548
1,10629403761260861411,М,1975,2018/2019,2.0,9080510863460073035,15820306466107805201,Дифференцированный зачет,4.243902439024391
2,10629403761260861411,М,1975,2019/2020,4.0,5019820477479850617,3636112309748229871,Экзамен,4.652173913043479
3,10629403761260861411,М,1975,2018/2019,2.0,2604062592206042930,3636112309748229871,Дифференцированный зачет,4.266666666666667
4,10629403761260861411,М,1975,2018/2019,2.0,2604062592206042930,3636112309748229871,Курсовой проект,4.266666666666667
5,10629403761260861411,М,1975,2018/2019,1.0,2604062592206042930,3636112309748229871,Зачет,
6,10629403761260861411,М,1975,2019/2020,2.0,8210405244786072071,3259025934245756351,Дифференцированный зачет,4.2105263157894735
7,10629403761260861411,М,1975,2019/2020,2.0,8210405244786072071,3259025934245756351,Курсовой проект,4.2105263157894735
8,10629403761260861411,М,1975,2019/2020,1.0,8210405244786072071,3259025934245756351,Зачет,
9,10629403761260861411,М,1975,2019/2020,4.0,14529256835041945510,3636112309748229871,Дифференцированный зачет,4.826086956521739
10,10629403761260861411,М,1975,2020/2021,4.0,14529256835041945510,3259025934245756351,Дифференцированный зачет,4.608695652173913
11,10629403761260861411,М,1975,2019/2020,2.0,2687832118983576082,10080731777079285074,Дифференцированный зачет,3.4295774647887325
12,10629403761260861411,М,1975,2020/2021,2.0,2687832118983576082,7022805511762894813,Дифференцированный зачет,3.718978102189781
13,10629403761260861411,М,1975,2020/2021,3.0,2687832118983576082,10080731777079285074,Экзамен,3.343873517786561
14,10629403761260861411,М,1975,2019/2020,3.0,186925109830921404,5702036724245840580,Экзамен,3.4948453608247423
15,10629403761260861411,М,1975,2019/2020,2.0,3349554631096550219,4277008905584954292,Экзамен,3.826923076923077
16,10629403761260861411,М,1975,2020/2021,4.0,18179989018279378066,3259025934245756351,Экзамен,3.772727272727273
17,10629403761260861411,М,1975,2020/2021,1.0,5638177065270669737,16237482972591189123,Экзамен,3.4285714285714284
18,6674699098929009726,М,1975,2019/2020,4.0,17237363968637761553,11623170453297887849,Экзамен,4.403225806451613
19,6674699098929009726,М,1975,2020/2021,6.0,14719644386433601024,11623170453297887849,Экзамен,4.74468085106383
20,6674699098929009726,М,1975,2018/2019,2.0,6673786453515598761,11623170453297887849,Экзамен,4.215189873417722
21,6674699098929009726,М,1975,2018/2019,1.0,6673786453515598761,11623170453297887849,Зачет,
22,6674699098929009726,М,1975,2019/2020,1.0,6673786453515598761,15970149812698605927,Зачет,
23,6674699098929009726,М,1975,2019/2020,1.0,6673786453515598761,15970149812698605927,Странный зачет,3.0
24,6674699098929009726,М,1975,2020/2021,5.0,4353823583703051975,11623170453297887849,Курсовой проект,4.516129032258065
25,6674699098929009726,М,1975,2020/2021,5.0,4353823583703051975,11623170453297887849,Экзамен,4.516129032258065
26,1851164956631678367,М,1971,2020/2021,6.0,4044558543868785130,1735447964736427415,Экзамен,4.714285714285714
27,1851164956631678367,М,1971,2020/2021,6.0,4044558543868785130,11601735065314202486,Экзамен,3.952380952380953
28,9518828187737345193,М,1972,2020/2021,3.0,14117172740964826343,15497068133959288608,Экзамен,3.6495726495726495
29,9518828187737345193,М,1972,2020/2021,5.0,6063951793857738920,11601735065314202486,Курсовой проект,4.465116279069767
30,9518828187737345193,М,1972,2020/2021,5.0,6063951793857738920,11601735065314202486,Экзамен,3.953488372093023
31,9518828187737345193,М,1972,2020/2021,1.0,2217818214435684685,4833027042617058934,Зачет,
32,9518828187737345193,М,1972,2018/2019,2.0,1891257564832756647,1735447964736427415,Экзамен,3.564625850340136
33,9518828187737345193,М,1972,2018/2019,2.0,1891257564832756647,11601735065314202486,Экзамен,3.234567901234568
34,9518828187737345193,М,1972,2018/2019,1.0,1891257564832756647,1735447964736427415,Зачет,
35,9518828187737345193,М,1972,2018/2019,1.0,1891257564832756647,11601735065314202486,Зачет,
36,9518828187737345193,М,1972,2019/2020,2.0,1891257564832756647,15497068133959288608,Экзамен,3.724832214765101
37,9518828187737345193,М,1972,2019/2020,2.0,1891257564832756647,2516887713846954209,Экзамен,3.484848484848485
38,9518828187737345193,М,1972,2019/2020,1.0,1891257564832756647,15497068133959288608,Зачет,
39,9518828187737345193,М,1972,2019/2020,1.0,1891257564832756647,2516887713846954209,Зачет,
40,9518828187737345193,М,1972,2020/2021,2.0,1891257564832756647,4833027042617058934,Экзамен,3.3986486486486487
41,9518828187737345193,М,1972,2020/2021,2.0,1891257564832756647,2670765318842283532,Экзамен,3.4431818181818183
42,9518828187737345193,М,1972,2018/2019,2.0,15995345565423672793,12612448798936427967,Экзамен,4.142857142857143
43,9518828187737345193,М,1972,2018/2019,2.0,15995345565423672793,10063135663229342125,Экзамен,3.4615384615384617
44,9518828187737345193,М,1972,2018/2019,1.0,15995345565423672793,12612448798936427967,Зачет,
45,9518828187737345193,М,1972,2018/2019,1.0,15995345565423672793,10063135663229342125,Зачет,
46,9518828187737345193,М,1972,2018/2019,1.0,15995345565423672793,3363922121647122056,Зачет,
47,9518828187737345193,М,1972,2019/2020,2.0,15995345565423672793,6612640601623325017,Экзамен,3.615384615384616
48,9518828187737345193,М,1972,2019/2020,2.0,15995345565423672793,12572440150254943648,Экзамен,3.5
49,9518828187737345193,М,1972,2019/2020,2.0,15995345565423672793,12229251672782950828,Экзамен,4.047619047619048
50,9518828187737345193,М,1972,2019/2020,2.0,15995345565423672793,17704007319279137892,Экзамен,3.235294117647059
